code,term,dmd_id,dmd_type,bnf_code
35313211000001104,Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free,35313211000001104,VMP,0501080D0AAACAC
32501611000001104,Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free,32501611000001104,AMP,0501080D0AAACAC
32505711000001105,Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free,32505711000001105,AMP,0501080D0AAACAC
32431411000001103,Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free,32431411000001103,AMP,0501080D0AAACAC
37232111000001101,Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free,37232111000001101,AMP,0501080D0AAACAC
42440811000001109,Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free,42440811000001109,AMP,0501080D0AAACAC
38859611000001100,Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free,38859611000001100,AMP,0501080D0AAACAC
41947511000001106,Co-trimoxazole 80mg/400mg/5ml oral suspension,41947511000001106,VMP,0501080D0AAAEAE
32501811000001100,Co-trimoxazole 80mg/400mg/5ml oral suspension,32501811000001100,AMP,0501080D0AAAEAE
32507511000001109,Co-trimoxazole 80mg/400mg/5ml oral suspension,32507511000001109,AMP,0501080D0AAAEAE
32280411000001100,Co-trimoxazole 80mg/400mg/5ml oral suspension,32280411000001100,AMP,0501080D0AAAEAE
41947411000001107,Co-trimoxazole 80mg/400mg tablets,41947411000001107,VMP,0501080D0AAAHAH
812711000001104,Co-trimoxazole 80mg/400mg tablets,812711000001104,AMP,0501080D0AAAHAH
688711000001107,Co-trimoxazole 80mg/400mg tablets,688711000001107,AMP,0501080D0AAAHAH
517111000001104,Co-trimoxazole 80mg/400mg tablets,517111000001104,AMP,0501080D0AAAHAH
32281711000001103,Co-trimoxazole 80mg/400mg tablets,32281711000001103,AMP,0501080D0AAAHAH
28922511000001104,Co-trimoxazole 80mg/400mg tablets,28922511000001104,AMP,0501080D0AAAHAH
23858211000001109,Co-trimoxazole 80mg/400mg tablets,23858211000001109,AMP,0501080D0AAAHAH
40598711000001105,Co-trimoxazole 80mg/400mg tablets,40598711000001105,AMP,0501080D0AAAHAH
14942811000001103,Co-trimoxazole 80mg/400mg tablets,14942811000001103,AMP,0501080D0AAAHAH
34958511000001104,Co-trimoxazole 80mg/400mg tablets,34958511000001104,AMP,0501080D0AAAHAH
802611000001106,Co-trimoxazole 80mg/400mg tablets,802611000001106,AMP,0501080D0AAAHAH
38859111000001108,Co-trimoxazole 80mg/400mg tablets,38859111000001108,AMP,0501080D0AAAHAH
17889311000001105,Co-trimoxazole 80mg/400mg tablets,17889311000001105,AMP,0501080D0AAAHAH
29826011000001104,Co-trimoxazole 80mg/400mg tablets,29826011000001104,AMP,0501080D0AAAHAH
26776811000001104,Co-trimoxazole 80mg/400mg tablets,26776811000001104,AMP,0501080D0AAAHAH
21942611000001109,Co-trimoxazole 80mg/400mg tablets,21942611000001109,AMP,0501080D0AAAHAH
41947311000001100,Co-trimoxazole 160mg/800mg tablets,41947311000001100,VMP,0501080D0AAAJAJ
30994911000001107,Co-trimoxazole 160mg/800mg tablets,30994911000001107,AMP,0501080D0AAAJAJ
32506211000001109,Co-trimoxazole 160mg/800mg tablets,32506211000001109,AMP,0501080D0AAAJAJ
32278611000001106,Co-trimoxazole 160mg/800mg tablets,32278611000001106,AMP,0501080D0AAAJAJ
37232311000001104,Co-trimoxazole 160mg/800mg tablets,37232311000001104,AMP,0501080D0AAAJAJ
37896711000001101,Co-trimoxazole 160mg/800mg tablets,37896711000001101,AMP,0501080D0AAAJAJ
34958311000001105,Co-trimoxazole 160mg/800mg tablets,34958311000001105,AMP,0501080D0AAAJAJ
38859311000001105,Co-trimoxazole 160mg/800mg tablets,38859311000001105,AMP,0501080D0AAAJAJ
26777411000001104,Co-trimoxazole 160mg/800mg tablets,26777411000001104,AMP,0501080D0AAAJAJ
659211000001100,Septrin tablets,659211000001100,AMP,0501080D0BGAAAH
764411000001104,Septrin Forte 160mg/800mg tablets,764411000001104,AMP,0501080D0BGACAJ
96711000001102,Septrin Adult 80mg/400mg/5ml oral suspension,96711000001102,AMP,0501080D0BGAEAE
3757311000001102,Septrin Paediatric 40mg/200mg/5ml oral suspension,3757311000001102,AMP,0501080D0BGAFAC
324357002,VMP previous to 41947411000001107,324357002,VMP,0501080D0AAAHAH
324359004,VMP previous to 41947311000001100,324359004,VMP,0501080D0AAAJAJ
324362001,VMP previous to 41947511000001106,324362001,VMP,0501080D0AAAEAE
324366003,VMP previous to 35313211000001104,324366003,VMP,0501080D0AAACAC
