code,term,dmd_id,dmd_type,bnf_code
39732111000001101,Co-amoxiclav 250mg/125mg tablets,39732111000001101,VMP,0501013K0AAAAAA
38111000001106,Co-amoxiclav 250mg/125mg tablets,38111000001106,AMP,0501013K0AAAAAA
19833711000001107,Co-amoxiclav 250mg/125mg tablets,19833711000001107,AMP,0501013K0AAAAAA
382811000001107,Co-amoxiclav 250mg/125mg tablets,382811000001107,AMP,0501013K0AAAAAA
101911000001100,Co-amoxiclav 250mg/125mg tablets,101911000001100,AMP,0501013K0AAAAAA
9786711000001109,Co-amoxiclav 250mg/125mg tablets,9786711000001109,AMP,0501013K0AAAAAA
10397411000001104,Co-amoxiclav 250mg/125mg tablets,10397411000001104,AMP,0501013K0AAAAAA
34962611000001109,Co-amoxiclav 250mg/125mg tablets,34962611000001109,AMP,0501013K0AAAAAA
32397711000001104,Co-amoxiclav 250mg/125mg tablets,32397711000001104,AMP,0501013K0AAAAAA
35907111000001109,Co-amoxiclav 250mg/125mg tablets,35907111000001109,AMP,0501013K0AAAAAA
23827411000001108,Co-amoxiclav 250mg/125mg tablets,23827411000001108,AMP,0501013K0AAAAAA
760411000001105,Co-amoxiclav 250mg/125mg tablets,760411000001105,AMP,0501013K0AAAAAA
12511000001105,Co-amoxiclav 250mg/125mg tablets,12511000001105,AMP,0501013K0AAAAAA
30016311000001106,Co-amoxiclav 250mg/125mg tablets,30016311000001106,AMP,0501013K0AAAAAA
38848311000001101,Co-amoxiclav 250mg/125mg tablets,38848311000001101,AMP,0501013K0AAAAAA
17885811000001104,Co-amoxiclav 250mg/125mg tablets,17885811000001104,AMP,0501013K0AAAAAA
91211000001101,Co-amoxiclav 250mg/125mg tablets,91211000001101,AMP,0501013K0AAAAAA
35563511000001103,Co-amoxiclav 250mg/125mg tablets,35563511000001103,AMP,0501013K0AAAAAA
882211000001108,Co-amoxiclav 250mg/125mg tablets,882211000001108,AMP,0501013K0AAAAAA
29794911000001102,Co-amoxiclav 250mg/125mg tablets,29794911000001102,AMP,0501013K0AAAAAA
771411000001107,Co-amoxiclav 250mg/125mg tablets,771411000001107,AMP,0501013K0AAAAAA
36868011000001101,Co-amoxiclav 250mg/125mg tablets,36868011000001101,AMP,0501013K0AAAAAA
441311000001108,Co-amoxiclav 250mg/125mg tablets,441311000001108,AMP,0501013K0AAAAAA
22009111000001105,Co-amoxiclav 250mg/125mg tablets,22009111000001105,AMP,0501013K0AAAAAA
380711000001103,Co-amoxiclav 250mg/125mg tablets,380711000001103,AMP,0501013K0AAAAAA
39021311000001109,Co-amoxiclav 250mg/125mg dispersible tablets sugar free,39021311000001109,VMP,0501013K0AAABAB
36565811000001104,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free,36565811000001104,VMP,0501013K0AAADAD
829311000001103,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free,829311000001103,AMP,0501013K0AAADAD
